en_inanimate;en_rel_freq;de_inanimate;de_rel_freq;hu_inanimate;hu_rel_freq
bag;63.06302;Tasche;29.71096;táska;29.79021
bed;75.43608;Bett;45.30579;ágy;63.32395
book;418.98037;Buch;261.80942;könyv;334.50864
bottle;40.092;Flasche;24.76253;palack;16.8694
brush;16.12191;Bürste;3.72575;kefe;5.41476
camera;89.05466;Kamera;51.26372;fényképezőgép;12.60837
car;258.16013;Auto;131.34459;autó;271.0368
chair;60.37197;Stuhl;19.99877;szék;41.53553
clock;33.34174;Uhr;395.76832;óra;515.31271
comb;1.90137;Kamm;3.17056;fésű;2.1429
computer;149.25568;Computer;45.64686;számítógép;56.29582
cup;74.93101;Tasse;11.69673;csésze;12.20057
door;130.12612;Tür;0.01611;ajtó;98.46828
fork;10.42713;Gabel;5.68263;villa;35.70465
house;330.2863;Haus;313.64839;ház;320.02261
key;68.56401;Schlüssel;25.6846;kulcs;39.76896
knife;20.79263;Messer;15.62875;kés;24.70548
lamp;16.30751;Lampe;14.61489;lámpa;40.75072
mirror;24.43052;Spiegel;27.76203;tükör;44.70279
paper;178.43676;Papier;41.42284;papír;67.38109
pen;19.90047;Stift;12.11472;toll;19.7087
pencil;9.14895;Bleistift;3.23663;ceruza;8.50355
phone;133.68315;Telefon;44.48536;telefon;104.3193
picture;144.75169;Bild;370.68127;kép;597.09096
plate;52.20521;Teller;12.00789;tányér;15.44257
radio;89.73873;Radio;31.31272;rádió;60.96743
shirt;23.21958;Hemd;7.05661;ing;13.24482
shoe;37.25084;Schuh;34.16876;cipő;42.66334
soap;12.67197;Seife;6.28284;szappan;11.19867
sock;8.92692;Socke;8.18665;zokni;8.89955
spoon;6.23249;Löffel;4.77762;kanál;11.85457
table;152.09766;Tisch;54.79085;asztal;82.51608
toothbrush;1.65984;Zahnbürste;2.63847;fogkefe;4.48252
towel;10.38441;Handtuch;7.21897;törölköző;4.25479
watch;37.06479;Armbanduhr;1.69689;karóra;2.4278
window;166.9832;Fenster;57.92204;ablak;86.34015
weapon;68.83;Waffe;37.24;fegyver;73.87
plane;41.75;Flugzeug;24;repülőgép;28.68
hammer;10.01;Hammer;13.55;kalapács;6.72
umbrella;7.75;Regenschirm;1.59;esernyő;3.46
gift;74.65;Geschenk;42.77;ajándék;91.18
ring;49.93;Ring;30.13;gyűrű;30.61
candle ;11.66;Kerze;13.38;gyertya;23.69
cake;26.82;Kuchen;20.96;torta;20.64
machine;130.75;Maschine;55.27;gép;202.89
chain;59.21;Kette;16.94;lánc;26.76
