Word;Valence;Arousal
soap;7.1;2.62
pen;5.63;2.75
pencil;5.65;3.11
phone;6.09;3.43
picture;6.73;3.29
plate;4.8;3.18
radio;6;3.84
shirt;5.56;2.3
shoe;5.78;2.4
paper;5.42;3.52
sock;4.43;3.09
spoon;5.9;3.79
table;5.49;3
toothbrush;5.58;3.38
towel;6.14;2.9
watch;5.45;3.37
window;6.47;3.27
computer;6.84;4.92
bed;7.16;3
book;7.05;3.13
bottle;5.47;3.32
brush;5.47;3.18
camera;6.61;3.05
car;6.63;4.04
chair;5.89;2.86
clock;5.65;3.35
comb;5.65;2.33
bag;5.05;3.43
cup;5.94;2.6
door;5.43;3.19
fork;5.47;3.35
house;7.19;3.95
key;6.22;3.9
knife;4.33;4.86
lamp;5.74;2.71
mirror;5.9;4.55
weapon;3.95;6.27
plane;5.72;4.91
hammer;5.17;4.56
umbrella;5.84;3.5
gift;7.27;4.64
ring;7.09;4.43
candle ;6.14;3.81
cake;7.58;5.33
machine;5;4.39
