Word;rel_freq
kép;597.09096
munka;593.48328
kérdés;538.31873
út;509.75932
cél;488.32986
kapcsolat;463.35059
játék;421.00525
film;402.1656
történet;342.92078
szem;340.37726
víz;338.04666
termék;335.84104
könyv;334.50864
ház;320.02261
kör;308.92971
forma;286.71382
anyag;282.51875
tér;277.93278
autó;271.0368
iskola;270.05781
eszköz;266.7797
verseny;258.69598
szint;250.44585
támogatás;248.73066
keret;245.86705
él;235.37104
föld;231.73929
cikk;229.63643
száj;227.26926
forrás;227.14244
darab;218.30144
utca;214.56902
;210.41213
épület;209.06724
terv;204.29958
gép;202.88757
sorozat;195.70924
vezető;195.47525
bár;192.4876
láb;189.84224
díj;189.20972
lap;180.02412
piac;179.47607
intézmény;174.7959
változás;169.02426
bőr;168.85137
lépés;164.12236
levél;162.89388
központ;161.31084
király;159.35355
fény;153.34191
lakás;147.16132
modell;145.89627
szöveg;143.29165
színház;140.62708
bizottság;140.26604
írás;138.56935
szabály;137.34342
otthon;136.20335
védelem;135.20954
templom;132.00688
szoba;130.39167
kutya;128.00275
motor;126.00774
jel;125.76426
klub;123.58711
fal;120.52447
szél;118.95647
tanulmány;118.45633
háttér;114.33277
bank;111.32984
zenekar;109.66209
kötet;109.17861
ruha;109.17213
kar;107.69786
kórház;105.70424
felület;104.74909
telefon;104.3193
növény;103.54954
típus;100.59452
stílus;100.14622
ajtó;98.46828
regény;98.39607
olvasó;97.87649
hivatal;96.98568
bíróság;96.88084
tető;95.49613
hozzászólás;91.41007
könyvtár;89.54721
ülés;89.45255
hatóság;88.22153
park;87.66908
biztonság;87.3534
mozgás;86.94236
ablak;86.34015
olaj;85.92634
mag;85.91986
haj;83.38629
hajó;83.08148
unió;80.67845
intézkedés;79.77491
utazás;76.35284
kocsi;76.18713
fogalom;76.02906
üzlet;75.83673
fegyver;73.87088
labda;72.96387
minta;71.85204
tábor;71.07926
étterem;70.23011
tűz;69.18307
papír;67.38109
konyha;66.97977
művészet;66.58169
bolt;65.83877
hegy;65.69713
ellenőrzés;65.36131
ágy;63.32395
ló;61.47151
rádió;60.96743
kína;60.02339
doboz;59.57162
súly;58.38896
számla;57.90572
kő;56.55527
állomás;56.14007
híd;54.099
nyak;52.9668
gáz;52.94921
építés;52.82053
üveg;52.11024
váll;52.00424
szálloda;51.48258
sajtó;50.66606
tervezés;49.39661
teher;47.78186
vonat;46.68715
ujj;46.44807
útvonal;44.85438
gyűjtemény;43.31808
tánc;41.8783
szék;41.53553
szerkezet;41.05622
bizonyíték;40.78359
kiadvány;40.59057
újság;40.50864
orr;40.09158
alsó;39.22368
medence;39.10982
készlet;39.06978
börtön;39.00544
kilátás;37.35898
kerék;36.60726
egyensúly;36.16706
televízió;35.96386
mező;35.73473
pilóta;35.61161
termelés;35.44497
divat;33.19075
képernyő;33.12201
zseb;32.64293
főiskola;32.45431
lövés;32.43741
felszerelés;32.31151
folyóirat;31.25753
ábra;30.24938
megközelítés;29.88672
rekord;29.85779
táska;29.79021
repülőgép;28.67837
bejárat;28.24627
ellenállás;28.16782
folt;27.95582
szövet;27.5302
pihenés;27.38486
kényelem;27.23905
biblia;27.11708
sofőr;27.03885
lánc;26.76437
sarok;26.44614
táblázat;26.20544
terhelés;25.23247
autópálya;24.94386
kés;24.70548
bázis;24.44118
emelet;24.04264
jég;23.24649
opera;23.14997
személyzet;22.51051
oszlop;22.43112
sejt;22.37396
tárolás;22.00065
lyuk;21.79374
berlin;21.27184
memória;21.24083
királynő;20.85062
acél;20.83141
kalap;20.14936
visszatérés;19.28424
rakéta;19.08266
vasút;18.80099
hívás;18.78178
terem;18.45545
benyomás;18.36797
telek;18.31775
mark;17.56048
őr;17.23415
célkitűzés;16.8208
csatlakozó;16.544
kabát;16.36556
hajtás;16.08898
hálószoba;15.99826
részesedés;15.72076
torok;15.38495
jegyzet;15.02737
teremtés;14.96766
skála;14.51473
szótár;13.63989
hangszóró;13.06014
mellkas;13.03815
teherautó;12.77037
csésze;12.20057
mikrofon;11.97723
kormányzó;11.68677
hőség;11.65738
ruházat;11.31902
menedék;10.49856
kamra;10.09748
referencia;9.60544
sam;9.243
pisztoly;9.12798
érintkezés;9.12566
fickó;9.12404
tömb;8.35798
puska;8.28739
bob;8.13418
kötvény;8.00989
négyzet;7.79581
öböl;7.60441
titkár;7.32182
íróasztal;7.2024
átjáró;6.90755
színhely;5.59713
bit;5.05279
öltöny;4.98451
összeszerelés;4.59269
hatótávolság;4.05204
ólom;3.85162
artéria;3.78797
erőd;3.58708
csuka;3.52228
megkönnyebbülés;3.40887
sugárút;2.51621
baseball;2.33939
palást;2.01769
huzal;1.70432
veranda;1.44835
interferencia;1.15743
anód;0.65428
művek;0.09975
